Type,Title,Choice,Choice,Choice,Choice,Correct
"MCQ","Quel composant est essentiel pour gérer les identités et les accès dans le cloud AWS ?","VPN (Virtual Private Network)","SLA (Service Level Agreement)","IAM (Identity and Access Management)","DNS (Domain Name System)","3"
"MCQ","Quelle méthode est utilisée pour protéger les données au repos dans le cloud ?","Hashing","Tokenisation","Chiffrement","Compression","3"
"MCQ","Lequel des éléments suivants est un exemple de MFA ?","Un mot de passe unique envoyé par SMS","Une question de sécurité","Un certificat numérique et une empreinte digitale","Toutes les réponses ci-dessus","4"
"MCQ","Dans le contrôle d'accès basé sur les rôles (RBAC), quelle est la règle principale ?","Chaque utilisateur dispose de permissions illimitées","Les permissions sont attribuées en fonction de la position ou des responsabilités","Toutes les actions doivent être validées par un administrateur","Les utilisateurs ont les mêmes droits par défaut","2"
"MCQ","Quelle est la différence principale entre un rôle et un utilisateur dans IAM ?","Un utilisateur est une personne physique uniquement","Un utilisateur possède des clés d’accès alors qu’un rôle est temporaire et assumable","Un rôle est réservé aux applications uniquement","Aucune différence","2"
"MCQ","Quel modèle est plus simple à gérer dans une grande organisation avec des besoins simples ?","ABAC","RBAC","Les deux sont équivalents","Aucun des deux","2"
"MCQ","Quel type de politique est essentiel pour empêcher les attaques DDoS ?","Politique de gouvernance","Politique de sauvegarde","Politique de journalisation","Politique de sécurité réseau","4"
"MCQ","Quel est l'objectif principal d'AWS Inspector ?","Sauvegarder les bases de données","Gérer les identités AWS","Optimiser les coûts AWS","Analyser les ressources pour identifier les vulnérabilités","4"
"MCQ","Une Permission Boundary peut-elle être plus permissive qu'une politique IAM attachée ?","Non elle ne peut autoriser que ce que la policy IAM autorise","Oui elle remplace IAM","Oui elle étend IAM","Non elle interdit tout par défaut","1"
"MCQ","Que se passe-t-il si une SCP interdit une action mais qu'une policy IAM l'autorise ?","Action autorisée","Action bloquée par la SCP","Autorisé si root","L'action est ignorée","2"
"MCQ","Par défaut une ACL réseau autorise :","Tout le trafic entrant et sortant","Aucun trafic","Aucun trafic entrant mais tout sortant","Tout entrant mais aucun sortant","1"
"MCQ","Les Security Groups peuvent-ils refuser explicitement du trafic ?","Oui avec Deny","Non seulement Allow","Oui seulement sous-réseaux publics","Non uniquement sortant","2"
"MCQ","Nombre maximum de VPC par région par défaut ?","1","5","20","100","2"
"MCQ","Pour qu'un sous-réseau public accède à Internet il faut :","Associer NAT","Créer route vers IGW","Bloquer trafic entrant","Route vers sous-réseau privé","2"
"MCQ","Quel composant permet connectivité privée entre deux VPC ?","IGW","VPC Peering","NAT Gateway","ACL","2"
"MCQ","Quelle stratégie améliore la haute disponibilité VPC ?","Sous-réseau unique","Multi-AZ","NAT partagé unique","Une seule IGW","2"
"MCQ","Que fait une table de routage dans un VPC ?","Contrôle permissions EC2","Configure proxy","Bloque IP non autorisées","Définit chemins du trafic réseau","4"
"MCQ","Différence principale entre sous-réseau public et privé ?","Route vers IGW","Route vers NAT","Autorise tout entrant","Pas besoin NAT public","1"
"MCQ","Que signifie assumer un rôle dans AWS ?","Désactiver rôle","Utiliser temporairement permissions rôle","Créer nouveau rôle","Assigner définitivement rôle","2"
"MCQ","Qu’est-ce que ABAC ?","Modèle basé sur attributs","Modèle basé sur rôles","Accès sans restriction","Modèle basé uniquement sur poste utilisateur","1"
"MCQ","Quelle différence clé distingue RBAC de ABAC ?","RBAC utilise des rôles tandis que ABAC utilise des attributs et tags","RBAC est dynamique ABAC statique","RBAC est moins sécurisé","Aucune différence","1"
"MCQ","Dans ABAC AWS quel mécanisme est recommandé pour affiner les accès ?","Groupes IAM","Tags clé/valeur","ACL réseau","Security Groups","2"
"MCQ","Quelle est la caractéristique principale d’un Security Group ?","S’applique au niveau sous-réseau","S’applique aux instances EC2","Suit ordre des règles","Autorise tout par défaut","2"
"MCQ","Quelle caractéristique distingue une ACL réseau ?","Ordre des règles important","Ne supporte pas règles entrantes","S’applique aux instances uniquement","Autorise toujours tout trafic","1"
"MCQ","Quelle est une bonne pratique IAM essentielle ?","Utiliser root quotidiennement","Donner tous les privilèges","Appliquer principe moindre privilège","Désactiver MFA","3"
"MCQ","Pourquoi éviter l’usage quotidien du compte root ?","Il est lent","Il possède tous les privilèges","Il coûte cher","Il expire automatiquement","2"
"MCQ","Pourquoi utiliser des groupes IAM ?","Segmenter utilisateurs et appliquer policies collectives","Créer VPC","Configurer firewall","Remplacer MFA","1"
"MCQ","Pourquoi activer la MFA ?","Augmenter disponibilité","Ajouter couche sécurité supplémentaire","Réduire coûts AWS","Accélérer connexions","2"
"MCQ","Quel est le rôle principal d’un ALB ?","Répartition charge niveau application","Répartition charge niveau IP uniquement","Créer VPC","Remplacer IAM","1"
"MCQ","Quelle est la particularité du NLB ?","Travaille principalement avec TCP niveau réseau","Utilise HTTP uniquement","Remplace IGW","Gère IAM","1"
"MCQ","Pourquoi associer ALB à Auto Scaling ?","Créer backup automatique","Lancer nouvelles instances si surcharge","Supprimer logs","Modifier ACL","2"
"MCQ","Quelle mesure renforce politique mot de passe ?","Mot de passe court","Longueur minimale et complexité","Désactiver MFA","Stockage clair","2"
"MCQ","Quelle règle s’applique aux ACL ?","Plus petit numéro lu en premier","Ordre aléatoire","Règles non numérotées","Appliquées aux instances","1"
"MCQ","Quel principe IAM empêche escalade privilège ?","Permission Boundary","IGW","NAT","Subnet public","1"
"MCQ","Quel outil AWS détecte vulnérabilités EC2 ?","Inspector","CloudFront","Route53","S3","1"
