Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,"Quel format disque et conteneur pour importer CirrOS via CLI Glance ?","--disk-format iso --container-format docker","--disk-format raw --container-format ovf","--disk-format qcow2 --container-format bare","--disk-format vmdk --container-format ova",3
MCQ,"Port Heat API dans heat.conf ?","8004","9696","8776","8000",1
MCQ,"Dans nova.conf compute, virt_type par défaut ?","hyperv","qemu","vmware","kvm",4
MCQ,"Quelle commande lie le router à external-gateway ?","openstack router add network Router-1 provider-net","openstack router set Router-1 --external-gateway tenant-net","openstack router set Router-1 --external-gateway provider-net","openstack router create --gateway provider-net",3
MCQ,"Statut instance après build ?","SHUTOFF","ACTIVE","BUILD","ERROR",2
MCQ,"Commande delete volume ?","nova volume-delete","openstack volume delete id","glance delete volume-id","cinder volume delete id",2
MCQ,"Quel paramètre définit le mapping physique pour provider-net ?","--external-network flat","--provider-physical-network provider","--tenant-network-type flat","--provider-network-type vxlan",2
MCQ,"Endpoint Heat API ?","controller:8774","8004","heat:8000","controller:8004/v1/%(tenant_id)s",4
MCQ,"Volume group pour LVM ?","volumes-group","vg-cinder","cinder-volumes","lvm-cinder",3
MCQ,"Quelle commande active le forwarding IP sur le contrôleur ?","ip forward enable","sudo sh -c 'echo 1 > /proc/sys/net/ipv4/ip_forward'","sudo sysctl net.ipv4.ip_forward=0","echo 0 > /proc/sys/net/ipv4/ip_forward",2
MCQ,"Discover hosts ?","placement discover","openstack host discover","nova host-list","nova-manage cellv2 discover_hosts",4
MCQ,"Paquets installés pour Cinder ?","cinder-block-storage","nova-volume cinder-client","openstack-cinder all","cinder-api cinder-scheduler cinder-volume",4
MCQ,"Endpoints pour volumev2 ?","controller:8774/v2","cinder:8776/v3","controller:8776/v2/%(tenant_id)s","controller:8776/v1",3
MCQ,"Quel flavor a --ram 2048 --disk 20 ?","m1.medium","m1.nano","m1.small","m1.tiny",3
MCQ,"Commande liste services volume ?","openstack service list --volume","nova volume-service","cinder service-list","openstack volume service list",4
MCQ,"Quelle commande vérifie les agents Neutron ?","openstack agent list","neutron agent-list","openstack service agent list","openstack network agent list",4
MCQ,"Quelle règle iptables est ajoutée pour le NAT sur ens37 ?","sudo iptables -t nat -A POSTROUTING -o ens37 -j MASQUERADE","iptables -A INPUT -i ens37 -j ACCEPT","iptables -t nat -A POSTROUTING -o ens37 -j SNAT","iptables -t filter -A FORWARD -o ens37 -j DROP",1
MCQ,"Quel bridge OVS est mappé à provider ?","br-tun","br-provider","br-ex","br-int",2
MCQ,"Dans nova.conf, quel firewall_driver avec Neutron ?","IptablesFirewallDriver","OVSFWDriver","nova.virt.firewall.NoopFirewallDriver","FirewalldDriver",3
MCQ,"Rôles Heat ?","admin user stack","orchestrator owner","heat_stack_owner heat_stack_user","heat_admin heat_user",3
MCQ,"Lancement instance basique ?","nova boot --image ubuntu --flavor tiny","openstack server create --image CirrOS --flavor m1.small --network private","openstack launch vm","glance server-create",2
MCQ,"Quelle gateway pour tenant-subnet 192.168.100.0/24 ?","203.0.113.1","192.168.100.1","10.0.0.1","192.168.100.255",2
MCQ,"Commande sync DB Cinder ?","sudo cinder-manage db sync","mysql sync cinder","openstack db sync cinder","cinder-manage db sync",1
MCQ,"Quelle commande redémarre Apache pour Horizon ?","sudo service apache restart","sudo systemctl reload apache2","sudo systemctl restart apache2","apache2 reload",3
MCQ,"Base de données Cinder ?","CREATE DATABASE volume","CREATE DATABASE cinder_api","CREATE DATABASE cinder","CREATE DATABASE block",3
MCQ,"Dans Horizon, où modifier les quotas d'un projet ?","Network > Quotas","Compute > Quotas","Admin > System > Projects > Modify Quotas","Identity > Projects > Quotas",4
MCQ,"Utilisateur par défaut de CirrOS ?","admin/admin","cirros/cubswin:)","ubuntu/cube","root/password",2
MCQ,"Base Heat ?","CREATE DATABASE heat","CREATE DATABASE orchestration","CREATE DATABASE stack","CREATE DATABASE heat_api",1
MCQ,"Keypair create ?","keystone key-create","nova keypair-add mykey","openstack keypair create mykey > mykey.pem","ssh-keygen -f mykey",3
MCQ,"Dans ml2_conf.ini, quels mechanism_drivers sont configurés ?","linuxbridge","vlan,flat","ovs,linuxbridge","openvswitch,l2population",4
MCQ,"Service Heat ?","openstack service create --name heat orchestration","heat service-create","openstack orchestration create","keystone service-add heat",1
MCQ,"Quel argument désactive DHCP dans subnet provider ?","--dhcp-disabled","--gateway none","--allocation-pool none","--no-dhcp ou --disable-dhcp selon version CLI",4
MCQ,"Vérif agents OVS compute ?","openstack network agent list","Toutes","neutron agent-list-detail","ovs-vsctl show network agents",1
MCQ,"Commande pour valider un template Heat localement ?","openstack heat validate template.yaml","heat validate template.yaml","heat template-validate --template-file mon_template.yaml","heat template-validate template.yaml",3
MCQ,"Quelle commande liste les images avec tag ?","glance image-list --tag","openstack tag list --image","openstack image list --tag production-ready","openstack image show --tags",3
MCQ,"Section [lvm] dans cinder.conf pour backend ?","volume_driver = LVMDriver","iscsi_helper = tgtadm","volume_group = cinder-volumes","Toutes les réponses",4
MCQ,"Paquets Nova compute ?","nova-compute sysfsutils","nova-api nova-scheduler","openstack-nova all","libvirt qemu-kvm seulement",1
MCQ,"Quelle commande importe CirrOS en Glance ?","openstack image create CirrOS --file cirros.img --disk-format raw","openstack image create CirrOS --file cirros-0.5.2-x86_64-disk.img --disk-format qcow2 --container-format bare --public","glance image-create --file cirros.img --disk qcow2","openstack image upload CirrOS cirros.img",2
MCQ,"Domaine Heat ?","openstack project create heat-domain","keystone domain-create heat","heat domain-setup","openstack domain create heat",4
MCQ,"Commande check KVM support ?","egrep -c '(vmx|svm)' /proc/cpuinfo","lsmodel | grep kvm","Aucune","virt-what",1
MCQ,"Cell v2 create ?","openstack cell create cell1","nova cell-setup","cinder cell create","nova-manage cellv2 create_cell --name cell1",4
MCQ,"Dans Horizon, comment créer un projet ?","Admin > Flavors > Add Project","Compute > Instances > Create Project","Identity > Projects > Create Project","Network > Projects > New",3
MCQ,"Valeur correcte pour my_ip sur compute ?","Aucune","10.0.0.21","192.168.30.111","203.0.113.21",2
MCQ,"Quel paramètre Glance référence une image distante HTTP ?","--disk-format qcow2 --container-format bare --file remote.img","--external-url img","--location example.com/images/external-image.qcow2","--import remote.qcow2",3
MCQ,"Hypervisor list ?","nova hypervisor-list","openstack compute hypervisor","openstack hypervisor list","virsh list",3
MCQ,"Quelle commande redémarre les services Neutron serveur et agents ?","sudo systemctl restart neutron-*","openstack service restart neutron","sudo systemctl restart neutron-server neutron-linuxbridge-agent neutron-dhcp-agent neutron-metadata-agent","systemctl reload neutron",3
